# 《霓虹猎手》装备表 v2（2026-09-21，同步游戏 v2.41；Codex：改装起弱词条）
# 数值来源：game/index.html MULT / affixOf / QCOL / dropBand；q5+ 数值 = q4 × 1.35^(q-4)（四舍五入）
品质,品质名,效果颜色,武器 攻击%,插件 攻速%,装甲 生命%,芯片 信用点%,固定词条（q3 改装起；依武器/插件/装甲）,备注
q0,报废,#3a3f46 黑,10,5,10,10,无,🆕新增垫底
q1,破损,#b8c0cc 灰,25,10,25,20,无,🆕新增
q2,民用,#3ddc84 绿,45,18,45,35,无,数值前移（原军用值）
q3,改装,#4aa8ff 蓝,70,28,70,55,暴击+2% / 攻速+4% / 吸血+1%,v2.41 Codex：弱词条起点；芯片无额外词条
q4,军用,#c07bff 紫,100,40,100,80,暴击+3% / 攻速+6% / 吸血+1.5%,合成链常规顶点（掉落最高档）
q5,原型,#ff6b6b 红,135,54,135,108,暴击+4% / 攻速+8% / 吸血+2%,f75+ 可掉落（v2.25.1）
q6,传说,#ffb020 橙,182,73,182,146,暴击+5% / 攻速+10% / 吸血+3%,原有词条保持；仅合成
q7,神话,#ff2a6d 品红,246,98,246,197,暴击+6% / 攻速+12% / 吸血+4%,仅合成
q8,永恒,#d9fbff 白青,332,131,332,262,暴击+7% / 攻速+14% / 吸血+5%,仅合成
q9,不朽,全息虹彩（青→紫→金流转）,448,177,448,354,暴击+8% / 攻速+16% / 吸血+6%,封顶；仅合成；细线框+旋转虹彩环
———,———,———,———,———,———,———,———,———,———
规则,楼层掉落区间,,f<25: q0~q2（报废~民用）· f25~49: q1~q3（破损~改装）· f50~74: q2~q4（民用~军用）· f75+: q3~q5（改装~原型，58/36/6）,,,,,传说起不掉落仅合成
规则,小怪掉落率,,25%（Boss 必掉 q3~q4 区间）,,,,,
规则,保底,,连续 10 次未出区间最高档 → 下次必出,,,,,
规则,合成封顶,,3 合 1 至不朽 q9 封顶（取消无上限）,,,,,✅v2.25 变更
规则,满级掉落转换,,部位已不朽时，该部位新掉落自动转信用点（拆解估值）,,,,,✅v2.25 新增
规则,拆解,,低品质（低于当前层区间下限且 q<4）→ 2×(q+1)²×1.15^楼层 /件,,,,,
规则,重塑回收,,重塑时身上+背包全量自动回收：拆解估值 ×15%，带入新开局,,,,,
规则,存档迁移,,旧档装备 q 值 +2 映射，词条按新规则重算,,,,,
