区域,键,当前文本,备注
阶段,stage_names,初始猎手 / 肢体替换 / 躯干重构 / 神经融合 / 全身义体,按stage配置读取
封面,continue,阶段 ${stage} · 第 ${floor} 层 · 自动保存,有存档
战斗区,finite_floor,第 ${floor} / 100 层,阶段1–4
战斗区,endless,阶段 5 · 全身义体 · ∞ 无尽,从阶段5第1层开始
改装,clear_title,第 ${stage} 阶段已通关,百层Boss完整退场后
改装,clear_lead,完成义体改装，开启下一阶段,
改装,reset_rules,信用点、已有与本轮碎片、装备与背包、强化、技能及加成树全部清零。装备不回收为启动资金。,
改装,confirm,开始义体改装,橙色按钮
改装,playing,义体改装中,无跳过、关闭、提前进入按钮
改装,complete,义体改装完成,阶段2–4
改装,complete_endless,无尽模式已开启,阶段5
改装,enter,进入第 1 层,完成后
改装,enter_endless,开启无尽挑战,阶段5完成后
重塑,tree_scope,本阶段加成,原永久加成文案，避免与升阶全清冲突
