# 《霓虹猎手》技能全表 v1（2026-09-17，对应游戏 v2.18.3）,,,,,,,,
# 手动修改后请递增文件名版本号（技能表-v2.csv…），并在备注列记录改动原因,,,,,,,,
类别,键,名称,效果描述,数值/级,叠加规则,获得途径,当前状态,备注
10层,overclock,战斗超频,暴击率 +10%,10%,同名叠加无上限,f10/20/30…棱镜层三选一,正常,
10层,fatal,致命固件,暴击伤害 +50%,50%,同名叠加无上限,同上,正常,
5层,killcycle,杀戮循环,暴击后攻速 +20% 持续 3 秒,20%,同名叠加无上限,同上,正常,
10层,neuro,神经加速,攻速 +15%,15%,同名叠加无上限,同上,正常,
10层,fire,火力协议,攻击 +25%,25%,同名叠加无上限,同上,正常,
删除,arc,电弧溅射,攻击附带 20% 溅射伤害,20%,同名叠加无上限,同上,⚠️图文不符,实际实现是攻击+20%（无溅射逻辑）
10层,subdermal,皮下加固,生命 +30%,30%,同名叠加无上限,同上,正常,
10层,nano,纳米修复,吸血 +5%,5%,同名叠加无上限,同上,正常,真人测试 meta 偏好（S22/S24/S59/S61 均首选）
10层,shield,应急护盾,护盾 10% 最大生命（每场刷新）,10%,同名叠加无上限,同上,正常,v2.18 起护盾独立横条显示
10层,blackmarket,黑市渠道,信用点 +30%,30%,同名叠加无上限,同上,正常,
10层,resonance,碎片共鸣,重塑碎片 +20%,20%,同名叠加无上限,同上,❌已失效,v2.16 重塑公式产出废止后乘的对象不存在；建议改"Boss 碎片掉落 +10%/级"或移除
5层,adrenaline,肾上腺素,击杀后 2 秒内攻速 +30%,30%,同名叠加无上限,同上,正常,
5层,critsurge,狂暴节奏,暴击后攻速 +30% 持续 5 秒,30%,不可叠加（重复选取刷新）,f5/15/25…中庭层空投三选一,正常,本循环有效
5层,ghoststep,光学迷彩,击杀后无敌 2 秒,2 秒,同上,同上,正常,本循环有效
删除,bounty,赏金协议,本层金币收益 ×2,×2,同上,同上,正常,本循环有效
删除,overload,过载冲击,接下来 3 场战斗伤害 +50%,50%,同上,同上,正常,本循环有效
加成树,dmg,伤害增幅,攻击力增加,#NAME?,成本=等级+1 无上限,碎片消费（首次重塑后解锁）,正常,
加成树,gold,信用点优化,信用点增加,#NAME?,同上,同上,正常,
加成树,offline,离线协议,离线收益增加,#NAME?,同上,同上,正常,
加成树,soul,灵魂共鸣,碎片掉落增加（乘 Boss 掉落）,#NAME?,同上,同上,正常,v2.14 起乘掉落
