楼层,小怪血量,小怪攻击,小怪金币,Boss血量,Boss攻击,Boss金币,转生魂石(若在此层转生)
1,23,1.7,2.3,138,3.1,12,0.0
2,26,1.9,2.6,159,3.4,13,0.1
3,30,2.2,3.0,183,3.9,15,0.2
4,35,2.4,3.5,210,4.4,17,0.3
5,40,2.8,4.0,241,5.0,20,0.4
6,46,3.1,4.6,278,5.6,23,0.5
7,53,3.5,5.3,319,6.4,27,0.6
8,61,4.0,6.1,367,7.2,31,0.7
9,70,4.5,7.0,422,8.1,35,0.9
10,81,5.1,8.1,485,9.2,40,1.0
11,93,5.8,9.3,558,10.4,47,1.2
12,107,6.5,10.7,642,11.7,54,1.3
13,123,7.3,12.3,738,13.2,62,1.5
14,142,8.3,14.2,849,14.9,71,1.7
15,163,9.4,16.3,976,16.9,81,1.8
16,187,10.6,18.7,1123,19.1,94,2.0
17,215,12.0,21.5,1291,21.6,108,2.2
18,248,13.5,24.8,1485,24.4,124,2.4
19,285,15.3,28.5,1708,27.5,142,2.6
20,327,17.3,32.7,1964,31.1,164,2.8
21,376,19.5,37.6,2259,35.2,188,3.0
22,433,22.1,43.3,2597,39.7,216,3.3
23,498,24.9,49.8,2987,44.9,249,3.5
24,573,28.2,57.3,3435,50.7,286,3.7
25,658,31.8,65.8,3950,57.3,329,4.0
26,757,36.0,75.7,4543,64.8,379,4.2
27,871,40.7,87.1,5224,73.2,435,4.4
28,1001,46.0,100.1,6008,82.7,501,4.7
29,1152,51.9,115.2,6909,93.5,576,4.9
30,1324,58.7,132.4,7945,105.6,662,5.2
31,1523,66.3,152.3,9137,119.3,761,5.5
32,1751,74.9,175.1,10508,134.9,876,5.7
33,2014,84.7,201.4,12084,152.4,1007,6.0
34,2316,95.7,231.6,13897,172.2,1158,6.3
35,2664,108.1,266.4,15981,194.6,1332,6.5
36,3063,122.2,306.3,18378,219.9,1532,6.8
37,3522,138.0,352.2,21135,248.5,1761,7.1
38,4051,156.0,405.1,24305,280.8,2025,7.4
39,4658,176.3,465.8,27951,317.3,2329,7.7
40,5357,199.2,535.7,32144,358.5,2679,8.0
41,6161,225.1,616.1,36965,405.1,3080,8.3
42,7085,254.3,708.5,42510,457.8,3542,8.6
43,8148,287.4,814.8,48886,517.3,4074,8.9
44,9370,324.7,937.0,56219,584.5,4685,9.2
45,10775,367.0,1077.5,64652,660.5,5388,9.5
46,12392,414.7,1239.2,74350,746.4,6196,9.9
47,14250,468.6,1425.0,85503,843.4,7125,10.2
48,16388,529.5,1638.8,98328,953.1,8194,10.5
49,18846,598.3,1884.6,113077,1077.0,9423,10.8
50,21673,676.1,2167.3,130039,1217.0,10837,11.2
51,24924,764.0,2492.4,149545,1375.2,12462,11.5
52,28663,863.3,2866.3,171976,1554.0,14331,11.9
53,32962,975.5,3296.2,197773,1756.0,16481,12.2
54,37906,1102.4,3790.6,227439,1984.3,18953,12.5
55,43592,1245.7,4359.2,261555,2242.2,21796,12.9
56,50131,1407.6,5013.1,300788,2533.7,25066,13.3
57,57651,1590.6,5765.1,345906,2863.1,28826,13.6
58,66299,1797.4,6629.9,397792,3235.3,33149,14.0
59,76243,2031.0,7624.3,457461,3655.9,38122,14.3
60,87680,2295.1,8768.0,526080,4131.1,43840,14.7
61,100832,2593.4,10083.2,604992,4668.2,50416,15.1
62,115957,2930.6,11595.7,695741,5275.1,57978,15.4
63,133350,3311.6,13335.0,800102,5960.8,66675,15.8
64,153353,3742.1,15335.3,920117,6735.7,76676,16.2
65,176356,4228.5,17635.6,1058134,7611.4,88178,16.6
66,202809,4778.2,20280.9,1216855,8600.8,101405,17.0
67,233230,5399.4,23323.0,1399383,9719.0,116615,17.3
68,268215,6101.3,26821.5,1609290,10982.4,134108,17.7
69,308447,6894.5,30844.7,1850684,12410.1,154224,18.1
70,354714,7790.8,35471.4,2128286,14023.4,177357,18.5
71,407922,8803.6,40792.2,2447529,15846.5,203961,18.9
72,469110,9948.1,46911.0,2814659,17906.5,234555,19.3
73,539476,11241.3,53947.6,3236858,20234.4,269738,19.7
74,620398,12702.7,62039.8,3722386,22864.9,310199,20.1
75,713457,14354.1,71345.7,4280744,25837.3,356729,20.5
76,820476,16220.1,82047.6,4922856,29196.1,410238,21.0
77,943547,18328.7,94354.7,5661284,32991.6,471774,21.4
78,1085079,20711.4,108507.9,6510477,37280.6,542540,21.8
79,1247841,23403.9,124784.1,7487048,42127.0,623921,22.2
80,1435018,26446.4,143501.8,8610106,47603.5,717509,22.6
81,1650270,29884.4,165027.0,9901621,53792.0,825135,23.1
82,1897811,33769.4,189781.1,11386865,60785.0,948905,23.5
83,2182482,38159.4,218248.2,13094894,68687.0,1091241,23.9
84,2509855,43120.2,250985.5,15059128,77616.3,1254927,24.3
85,2886333,48725.8,288633.3,17317998,87706.4,1443166,24.8
86,3319283,55060.2,331928.3,19915697,99108.3,1659641,25.2
87,3817175,62218.0,381717.5,22903052,111992.3,1908588,25.7
88,4389752,70306.3,438975.2,26338510,126551.4,2194876,26.1
89,5048214,79446.1,504821.4,30289286,143003.0,2524107,26.6
90,5805447,89774.1,580544.7,34832679,161593.4,2902723,27.0
91,6676263,101444.8,667626.3,40057581,182600.6,3338132,27.5
92,7677703,114632.6,767770.3,46066218,206338.6,3838852,27.9
93,8829358,129534.8,882935.8,52976151,233162.7,4414679,28.4
94,10153762,146374.3,1015376.2,60922573,263473.8,5076881,28.8
95,11676827,165403.0,1167682.7,70060959,297725.4,5838413,29.3
96,13428351,186905.4,1342835.1,80570103,336429.7,6714175,29.7
97,15442603,211203.1,1544260.3,92655619,380165.6,7721302,30.2
98,17758994,238659.5,1775899.4,106553962,429587.1,8879497,30.7
99,20422843,269685.2,2042284.3,122537056,485433.4,10211421,31.1
100,23486269,304744.3,2348626.9,140917614,548539.8,11743135,31.6
