# 《霓虹猎手》装备表 v1（2026-09-18，对应游戏 v2.24.20）
# 数值来源：game/index.html MULT / FIXED_AFFIX / QCOL / dropBand；q5+ 数值 = q4 × 1.35^(q-4)（四舍五入）
品质,品质名,效果颜色,武器 攻击%,插件 攻速%,装甲 生命%,芯片 信用点%,词条（q≥4 传说起）,备注
q0,民用,#b8c0cc,10,5,10,10,无,
q1,改装,#3ddc84,25,10,25,20,无,
q2,制式,#4aa8ff,45,18,45,35,无,
q3,精制,#c07bff,70,28,70,55,无,
q4,传说,#ff6b6b,100,40,100,80,武器 暴击+5% / 插件 攻速+10% / 装甲 吸血+3% / 芯片 无词条,词条为部位固定（非随机）
q5,神话,#ffb020,135,54,135,108,同 q4 词条,
q6,永恒,#ff2a6d,182,73,182,146,同 q4 词条,
q7,不朽,#d9fbff,246,98,246,197,同 q4 词条,q7+ 每阶再 ×1.35
———,———,———,———,———,———,———,———,———,———
规则,掉落区间（楼层）,,f<25: q0~q2 · f25~49: q1~q3 · f50~74: q2~q4 · f75+: q3~q4,,,,,
规则,保底,,连续 10 次未出区间最高档 → 下次必出,,,,,
规则,合成,,3 件同部位同品质 → 1 件同部位品质+1（可含已装备）,,,,,
规则,拆解,,低品质（低于当前层掉落区间下限且 q<4）可拆解换信用点：2×(q+1)²×1.15^楼层 /件,,,,,
规则,重塑回收,,重塑时身上+背包全量自动回收：拆解估值 ×15% 回收率，带入新开局,,,,,
规则,装备词条说明,,武器=义体武器 / 插件=神经插件 / 装甲=皮下装甲 / 芯片=芯片,,,,,
